,Raw,P5(l<1000),P5(l<1000)+P5(l<500)
485.0,0.9568171128784572,0.9564242331392288,0.9537670363174777
486.0,0.9570814068184776,0.9567932595606872,0.9541341389525793
487.0,0.9577299124210763,0.9571589027191543,0.9545002494623596
488.0,0.958221811664644,0.9575211867149176,0.954865579724189
489.0,0.9590174126632299,0.9578801355505322,0.95523035061742
490.0,0.9597333250915177,0.9582357731309656,0.9555947922815804
491.0,0.9600527394449749,0.9585881232637425,0.9559591443751407
492.0,0.9599394966358222,0.9589372096590874,0.956323656333357
493.0,0.9604647589822084,0.959283055930066,0.9566885876272986
494.0,0.960845755596402,0.9596256855927319,0.9570542080215372
495.0,0.9602026949452376,0.959965122066267,0.9574207978332672
496.0,0.9605314035690953,0.9603013886731266,0.9577886481900781
497.0,0.9605847666086341,0.9606345086391805,0.9581580612886704
498.0,0.9606831526203057,0.9609645050938596,0.9585293506532266
499.0,0.9625254008153236,0.9612914010702958,0.9589028413938769
500.0,0.9623194086947038,0.9616152195054686,0.9592788704648219
501.0,0.9621106910814882,0.9619359832403445,0.9596577869227614
502.0,0.9632465300738584,0.9622537150200241,0.9600399521856442
503.0,0.9623885168596109,0.9625684374938823,0.9604257402908554
504.0,0.9622490575159799,0.9628801732157144,0.960815538153311
505.0,0.9636085585170157,0.9631889446438777,0.961209745824209
506.0,0.9658135178667755,0.9634947741414346,0.9616087767495467
507.0,0.9650521843265983,0.9637976839762963,0.9620130580279642
508.0,0.9645044864051556,0.964097696321367,0.9624230306696826
509.0,0.9654543554552603,0.9643948332546859,0.962839149854587
510.0,0.9659707307534228,0.9646891167595701,0.9632618851907726
511.0,0.9652946608537872,0.9649805687247612,0.9636917209728315
512.0,0.964219893312215,0.9652692109445642,0.9641291564403023
513.0,0.9637664134018535,0.9655550651189926,0.9645747060360192
514.0,0.9640351614156611,0.9658381528539126,0.9650288996645957
515.0,0.9647127217226115,0.9661184956611861,0.9654922829506787
516.0,0.9654110091201072,0.9663961149588125,0.9659654174974583
517.0,0.9658061701470408,0.9666710320710741,0.9664488811450105
518.0,0.9665381281414549,0.9669432682286774,0.9669432682286774
519.0,0.9671836865139685,0.9672128445688974,0.9672128445688974
520.0,0.9676218708402604,0.9674797821357219,0.9674797821357219
521.0,0.9686712647427089,0.9677441018799926,0.9677441018799926
522.0,0.9682658084301462,0.9680058246595491,0.9680058246595491
523.0,0.9671642215600382,0.9682649712393747,0.9682649712393747
524.0,0.966922375212488,0.9685215622917365,0.9685215622917365
525.0,0.9676730573352899,0.9687756183963283,0.9687756183963283
526.0,0.9685378022862134,0.969027160040417,0.969027160040417
527.0,0.9692497563111403,0.9692762076189849,0.9692762076189849
528.0,0.9701899948570711,0.9695227814348706,0.9695227814348706
529.0,0.9699630767357836,0.9697669016989148,0.9697669016989148
530.0,0.9698144768889606,0.9700085885301033,0.9700085885301033
531.0,0.970653650026681,0.9702478619557113,0.9702478619557113
532.0,0.9711204651183387,0.9704847419114402,0.9704847419114402
533.0,0.970807729358956,0.9707192482415725,0.9707192482415725
534.0,0.9702494608420001,0.9709514006991029,0.9709514006991029
535.0,0.9703816615893266,0.9711812189458908,0.9711812189458908
536.0,0.9707753791652116,0.9714087225528001,0.9714087225528001
537.0,0.9710079041619579,0.9716339309998392,0.9716339309998392
538.0,0.9711174321634384,0.971856863676311,0.971856863676311
539.0,0.9718372321932867,0.97207753988095,0.97207753988095
540.0,0.9726295542586756,0.9722959788220715,0.9722959788220715
541.0,0.9727406581071142,0.9725121996177082,0.9725121996177082
542.0,0.9719616948322194,0.9727262212957595,0.9727262212957595
543.0,0.9725083412010493,0.9729380627941318,0.9729380627941318
544.0,0.9725064383934355,0.9731477429608808,0.9731477429608808
545.0,0.9719673319622919,0.9733552805543582,0.9733552805543582
546.0,0.9724152899999463,0.9735606942433526,0.9735606942433526
547.0,0.9728317328230374,0.9737640026072325,0.9737640026072325
548.0,0.9734757218472397,0.973965224136091,0.973965224136091
549.0,0.9743867934595953,0.9741643772308879,0.9741643772308879
550.0,0.9746766808954883,0.9743614802035951,0.9743614802035951
551.0,0.9744888876282153,0.9745565512773366,0.9745565512773366
552.0,0.9744322126540896,0.9747496085865344,0.9747496085865344
553.0,0.9750642540547808,0.97494067017705,0.97494067017705
554.0,0.9751074647194321,0.9751297540063304,0.9751297540063304
555.0,0.9751930252366268,0.9753168779435486,0.9753168779435486
556.0,0.9755957419241196,0.9755020597697472,0.9755020597697472
557.0,0.9759525715508237,0.9756853171779836,0.9756853171779836
558.0,0.9765165428860187,0.9758666677734724,0.9758666677734724
559.0,0.9766404362574022,0.9760461290737266,0.9760461290737266
560.0,0.9759912675236129,0.9762237185087042,0.9762237185087042
561.0,0.9761455104447675,0.9763994534209499,0.9763994534209499
562.0,0.9758831696637789,0.976573351065738,0.976573351065738
563.0,0.9756799248290495,0.9767454286112158,0.9767454286112158
564.0,0.9769570650159096,0.9769157031385487,0.9769157031385487
565.0,0.9768536244517055,0.9770841916420614,0.9770841916420614
566.0,0.9767143863301405,0.9772509110293806,0.9772509110293806
567.0,0.977400422557255,0.977415878121582,0.977415878121582
568.0,0.9775344933583009,0.9775791096533293,0.9775791096533293
569.0,0.9774202902003463,0.97774062227302,0.97774062227302
570.0,0.9773961231719669,0.9779004325429279,0.9779004325429279
571.0,0.9777425287709439,0.9780585569393472,0.9780585569393472
572.0,0.9781255620377961,0.9782150118527331,0.9782150118527331
573.0,0.9782429177555415,0.9783698135878496,0.9783698135878496
574.0,0.9781789363056068,0.9785229783639093,0.9785229783639093
575.0,0.9784314551689836,0.9786745223147166,0.9786745223147166
576.0,0.9788517406012507,0.9788244614888155,0.9788244614888155
577.0,0.9791022308465427,0.9789728118496253,0.9789728118496253
